route_id,parse_rate,answer_valid_rate,citation_complete_rate,support_valid_rate,correct_abstention_rate,strict_success_rate
A00_tiny_direct,1.0,0.16666666666666666,0.25,0.19166666666666668,0.65,0.125
A01_tiny_bm25,0.49166666666666664,0.20833333333333334,0.25,0.025,0.6916666666666667,0.0
A02_tiny_dense,0.475,0.20833333333333334,0.25,0.016666666666666666,0.7416666666666667,0.0
A03_tiny_hybrid,0.4666666666666667,0.15833333333333333,0.25,0.0,0.725,0.0
A04_small_direct,0.0,0.0,0.25,0.0,0.875,0.0
A08_tiny_memory_flat,0.525,0.11666666666666667,0.25,0.0,0.775,0.0
A09_tiny_memory_hier,0.4083333333333333,0.08333333333333333,0.25,0.0,0.7,0.0
A10_tiny_memory_graph,0.4,0.08333333333333333,0.25,0.0,0.7083333333333334,0.0
A12_small_hybrid_both,0.0,0.0,0.25,0.0,0.875,0.0
A13_small_hybrid_verified,0.0,0.125,0.25,0.0,0.125,0.0
A14_upper_hybrid_verified,0.8416666666666667,0.475,0.7666666666666667,0.675,0.625,0.425
M16_tiny_grounded_verified,0.35,0.125,0.25,0.10833333333333334,0.14166666666666666,0.0
M17_granite_direct,1.0,0.20833333333333334,0.25,0.25,0.20833333333333334,0.20833333333333334
M18_granite_grounded_verified,0.9666666666666667,0.44166666666666665,0.8333333333333334,0.7416666666666667,0.7,0.44166666666666665
M19_peer_direct,1.0,0.23333333333333334,0.25,0.25,0.6833333333333333,0.23333333333333334
M20_peer_grounded_verified,1.0,0.48333333333333334,0.5833333333333334,0.5583333333333333,0.6833333333333333,0.3416666666666667
M21_upper_direct,1.0,0.18333333333333332,0.25,0.25,0.13333333333333333,0.13333333333333333
