route_id,rows,board_aliases
A00_tiny_direct,120,GPU-D
A01_tiny_bm25,120,GPU-D
A02_tiny_dense,120,GPU-D
A03_tiny_hybrid,120,GPU-D
A04_small_direct,120,GPU-C
A08_tiny_memory_flat,120,GPU-A
A09_tiny_memory_hier,120,GPU-A
A10_tiny_memory_graph,120,GPU-A
A12_small_hybrid_both,120,GPU-B
A13_small_hybrid_verified,120,GPU-B
A14_upper_hybrid_verified,120,GPU-B
M16_tiny_grounded_verified,120,GPU-D
M17_granite_direct,120,GPU-D
M18_granite_grounded_verified,120,GPU-D
M19_peer_direct,120,GPU-A
M20_peer_grounded_verified,120,GPU-A
M21_upper_direct,120,GPU-B
