model_key,task_type,queries,direct_success,grounded_success,grounded_minus_direct
tiny,no_retrieval,15,1.0,0.0,-1.0
tiny,knowledge_only,15,0.0,0.0,0.0
tiny,memory_only,15,0.0,0.0,0.0
tiny,knowledge_memory,15,0.0,0.0,0.0
tiny,temporal_update,15,0.0,0.0,0.0
tiny,authority_conflict,15,0.0,0.0,0.0
tiny,multi_hop,15,0.0,0.0,0.0
tiny,deleted_or_missing,15,0.0,0.0,0.0
small,no_retrieval,15,0.0,0.0,0.0
small,knowledge_only,15,0.0,0.0,0.0
small,memory_only,15,0.0,0.0,0.0
small,knowledge_memory,15,0.0,0.0,0.0
small,temporal_update,15,0.0,0.0,0.0
small,authority_conflict,15,0.0,0.0,0.0
small,multi_hop,15,0.0,0.0,0.0
small,deleted_or_missing,15,0.0,0.0,0.0
granite,no_retrieval,15,0.6666666666666666,0.0,-0.6666666666666666
granite,knowledge_only,15,0.0,0.9333333333333333,0.9333333333333333
granite,memory_only,15,0.0,1.0,1.0
granite,knowledge_memory,15,0.0,0.2,0.2
granite,temporal_update,15,0.0,1.0,1.0
granite,authority_conflict,15,0.0,0.4,0.4
granite,multi_hop,15,0.0,0.0,0.0
granite,deleted_or_missing,15,1.0,0.0,-1.0
peer,no_retrieval,15,0.8666666666666667,0.0,-0.8666666666666667
peer,knowledge_only,15,0.0,0.2,0.2
peer,memory_only,15,0.0,1.0,1.0
peer,knowledge_memory,15,0.0,0.13333333333333333,0.13333333333333333
peer,temporal_update,15,0.0,0.9333333333333333,0.9333333333333333
peer,authority_conflict,15,0.0,0.3333333333333333,0.3333333333333333
peer,multi_hop,15,0.0,0.0,0.0
peer,deleted_or_missing,15,1.0,0.13333333333333333,-0.8666666666666667
upper,no_retrieval,15,0.06666666666666667,0.0,-0.06666666666666667
upper,knowledge_only,15,0.0,0.9333333333333333,0.9333333333333333
upper,memory_only,15,0.0,0.6666666666666666,0.6666666666666666
upper,knowledge_memory,15,0.0,0.13333333333333333,0.13333333333333333
upper,temporal_update,15,0.0,1.0,1.0
upper,authority_conflict,15,0.0,0.4,0.4
upper,multi_hop,15,0.0,0.26666666666666666,0.26666666666666666
upper,deleted_or_missing,15,1.0,0.0,-1.0
